112	1	0.4417593 0.775 0.8583333 0.5560012 0.6382412 0.656913 0.7427811 0.01397768 0.3359084 119.3438 111.6017 105.8651 67.57657 64.81628 66.64162 0.3635511 0.5000695 0.7093432 68.94983 1.267164 3.321504 17.48109 8.993122 8.798025 -0.0448975 0.1654533 1.945854	120
112	2	0.0189062 0.127083 0.219444 0.932729 0.59748 0.11265 0.170704 0.0624426 0.322059 69.2314 76.0888 70.3459 32.4674 33.4975 32.245 1.57548 1.40818 1.56848 59.4284 -3.34258 1.99991 10.3577 2.65751 1.48654 0.785716 -0.310416 0.87871	204
112	3	0.03396412 0.3520833 0.2138889 0.3773421 0.09949215 0.247243 0.2106228 0.06048731 0.5489895 232.3728 232.6645 232.2989 47.75376 47.19255 48.0571 -1.932876 -1.936071 -1.940122 95.79574 -0.1086213 0.1074475 9.127822 0.8821537 0.7763563 -2.049672 -5.557301 8.258967	204
112	4	0.0412731 0.1875 0.269444 0.0925503 0.873616 0.170728 0.244496 0.0465508 0.183047 69.3714 68.2813 63.3954 30.6243 28.1466 27.6685 3.03552 3.08782 3.43746 57.6761 -0.635305 2.68244 8.60254 3.0824 2.98394 1.47675 3.37487 3.62629	29
112	5	0.0604456 0.1875 0.422222 0.900674 0.818341 0.183861 0.3574 0.0420297 0.236477 49.3905 49.0669 47.9963 18.51 17.5779 17.1284 1.75391 1.41954 1.59773 50.1358 -0.133289 0.68107 7.33279 1.7781 1.16189 0.897378 4.85091 1.25607	29
112	6	0.1085301 0.3270833 0.5333333 0.1267834 0.2223489 0.2681508 0.5053013 0.03023355 0.377853 111.3993 114.0871 109.2762 66.94684 64.98701 68.05051 1.105846 1.098189 1.117987 69.62375 -1.749078 2.08533 15.56554 3.390901 2.878772 0.7276847 -1.804858 1.009572	62
112	7	0.0658449 0.21875 0.461111 0.906624 0.189189 0.195049 0.407159 0.0409562 0.347217 93.7808 95.2185 82.3465 28.4627 28.5812 28.6906 0.414117 0.406488 0.502578 66.3106 -2.39081 5.59619 8.46389 2.47743 5.80843 -0.0925356 -0.77862 0.365858	273
112	8	0.0883044 0.570833 0.277778 0.572569 0.13078 0.428147 0.261489 0.0366997 0.443102 94.9933 90.4918 85.3164 42.8436 44.0722 45.0461 2.24501 2.44566 2.54699 64.8029 0.562874 2.91718 10.7215 1.66336 2.4394 1.66686 -0.734181 0.19159	53
112	9	0.07303819 0.1895833 0.5416667 0.7329631 0.7614976 0.1531057 0.5041868 0.03819032 0.2887574 166.4538 126.8739 138.012 60.81695 54.26812 58.49581 -0.5739684 0.09414375 -0.08320226 76.00529 9.941672 -0.1480915 14.25154 5.817407 2.853443 -0.6279838 -0.3639118 2.629971	53
112	10	0.06619792 0.1916667 0.5166667 0.4647305 0.7774055 0.1534487 0.4508492 0.03968878 0.3315217 129.1439 125.4241 124.7786 86.71306 87.30608 88.97044 0.1689863 0.2759067 0.3124309 69.95854 0.8714976 0.8549114 23.06091 2.615265 3.270037 0.002761748 2.829153 2.247644	195
112	11	0.05891782 0.175 0.475 0.2608597 0.7706872 0.1441683 0.4256476 0.04174443 0.2912141 119.514 128.8768 82.43149 61.57968 66.44394 48.8613 0.1153619 -0.128028 1.00514 71.78281 -7.263405 15.84458 17.68912 9.677261 13.41334 -0.4813584 -0.1995131 0.2753449	225
116	1	0.04130787 0.1604167 0.4972222 0.8163272 0.2863645 0.1075192 0.4380331 0.06136173 0.4821156 133.9262 117.188 106.8525 39.25753 41.72717 44.19217 0.322849 0.3381721 0.3780397 72.97445 2.995244 5.942778 10.69789 2.1662 4.23131 -0.290199 2.194009 0.7368338	160
116	2	0.0286632 0.120833 0.425 0.407849 0.21031 0.0926017 0.41959 0.0795477 0.441853 79.3063 68.8718 67.9077 51.2609 45.8061 40.2133 1.10882 1.10149 0.766687 56.7028 4.18144 1.37574 14.8505 2.87621 11.8088 0.719933 0.832912 -0.617719	160
116	3	0.8701678 0.9979167 1 0.4850457 0.5310412 0.9977529 0.9803104 0.01594121 0.1280155 161.4564 137.3099 108.8511 25.52356 25.67182 24.06648 -1.964269 -1.504779 -0.8984339 78.60632 2.039008 11.70795 6.889442 1.004177 2.179865 -2.671085 3.489373 -0.3438195	118
116	4	0.08359375 0.54375 0.2694444 0.4785788 0.6025584 0.5351232 0.2250989 0.0467982 0.4294348 147.1484 123.6796 98.19772 42.20702 40.54525 35.77289 -0.9046445 -0.7812319 -0.5929877 74.50592 2.581398 11.6405 11.69369 1.544543 2.841003 -1.332889 2.50289 2.260106	204
25	1	0.319045 0.675 0.902778 0.230457 0.335418 0.568554 0.821055 0.0195353 0.476439 24.042 23.9923 20.016 47.5834 46.748 46.428 2.52923 2.46748 2.79539 20.4768 -1.52714 5.52476 26.2432 6.78417 12.2068 1.26486 -0.214465 1.41701	29
25	2	0.013125 0.122917 0.172222 0.216812 0.918308 0.0913251 0.152625 0.0842152 0.379989 95.0362 51.4691 45.198 64.1189 50.5965 43.7482 -0.0606256 0.590714 0.908024 47.5028 18.0839 12.3501 25.0037 20.5126 12.6278 -0.382508 1.30923 0.196113	60
25	3	0.06936343 1 0.1 0.5132564 0.9568142 0.9737441 0.08073867 0.08434841 0.3063657 119.9699 96.53337 81.11121 42.15426 34.34184 29.91516 -1.70119 -1.690827 -1.599734 66.2805 4.079567 8.818188 16.67142 3.274984 4.130162 -2.378644 1.183209 0.4659751	31
25	4	0.0314641 0.360417 0.111111 0.712472 0.663063 0.35491 0.0910306 0.0693397 0.214306 87.6198 79.1985 69.1186 66.9063 61.3779 58.0601 0.572341 0.61121 0.794549 55.7923 1.22028 6.66997 24.3533 4.98917 7.80529 -0.437895 0.725019 1.29377	254
25	5	0.1347859 0.4020833 0.4833333 0.7460427 0.2639764 0.358711 0.4118056 0.02739256 0.3064439 190.8844 187.4598 194.3884 29.41972 25.20479 20.1988 -2.666365 -2.547186 -3.244604 88.61412 1.253872 -1.721862 5.916675 0.5248852 3.522204 -4.365907 1.123016 -4.36312	182
25	6	0.274543 0.81875 0.477778 0.619536 0.65209 0.755097 0.371092 0.0205308 0.298169 89.4158 74.2974 59.6178 66.2391 61.7222 58.8507 0.448731 0.60355 0.913371 53.4061 4.02369 12.5431 26.038 6.80785 12.2129 -0.417692 1.31505 0.912787	60
